#
# $Id$
#
# http://www.roc.noaa.gov/ssb/queries/siteid/network_sites.asp
#
# NEXRAD_SYSTEM ICAO 	RDA_LOCATION 	RESPONSIBLE_WFO WFO_SID EQUIP
ABERDEEN 	KABR 	ABERDEEN, SD 	ABERDEEN, SD 	ABR 	RDA
BISMARCK 	KBIS 	BISMARCK, ND 	BISMARCK, ND 	BIS 	RDA
CHEYENNE 	KCYS 	CHEYENNE, WY 	CHEYENNE, WY 	CYS 	RDA
CHICAGO 	KLOT 	ROMEOVILLE, IL 	CHICAGO, IL 	LOT 	RDA
DENVER 	KFTG 	FRONT RANGE AP, CO 	DENVER/BOULDER, CO 	BOU 	RDA
DES MOINES 	KDMX 	JOHNSTON, IA 	DES MOINES, IA 	DMX 	RDA
DETROIT 	KDTX 	WHITE LAKE, MI 	DETROIT, MI 	DTX 	RDA
DODGE CITY 	KDDC 	DODGE CITY, KS 	DODGE CITY, KS 	DDC 	RDA
DULUTH 	KDLH 	DULUTH, MN 	DULUTH, MN 	DLH 	RDA
EVANSVILLE, IN 	KVWX 	OWENSVILLE, IN 	PADUCAH, KY 	VWX 	RDA
FARGO/GRAND FORKS 	KMVX 	GRAND FORKS, ND 	FARGO/GRAND FORKS, ND 	FGF 	RDA
GOODLAND 	KGLD 	GOODLAND, KS 	GOODLAND, KS 	GLD 	RDA
GRAND ISLAND 	KUEX 	BLUE HILL, NE 	HASTINGS, NE 	GID 	RDA
GRAND JUNCTION 	KGJX 	GRAND JUNCTION, CO 	GRAND JUNCTION, CO 	GJT 	RDA
GRAND RAPIDS 	KGRR 	GRAND RAPIDS, MI 	GRAND RAPIDS, MI 	GRR 	RDA
GREEN BAY 	KGRB 	GREEN BAY, WI 	GREEN BAY, WI 	GRB 	RDA
INDIANAPOLIS 	KIND 	INDIANAPOLIS, IN 	INDIANAPOLIS, IN 	IND 	RDA
JACKSON, KY 	KJKL 	JACKSON, KY 	JACKSON, KY 	JKL 	RDA
LA CROSSE 	KARX 	LA CROSSE, WI 	LA CROSSE, WI 	ARX 	RDA
LINCOLN 	KILX 	LINCOLN, IL 	LINCOLN/CENTRAL ILLINOIS, IL 	ILX 	RDA
LOUISVILLE 	KLVX 	FORT KNOX, KY 	LOUISVILLE, KY 	LMK 	RDA
MARQUETTE 	KMQT 	NEGAUNEE, MI 	MARQUETTE 	MQT 	RDA
MILWAUKEE 	KMKX 	DOUSMAN, WI 	MILWAUKEE, WI 	MKX 	RDA
MINNEAPOLIS 	KMPX 	CHANHASSEN, MN 	MINNEAPOLIS, MN 	MPX 	RDA
NCL MICHIGAN 	KAPX 	GAYLORD, MI 	GAYLORD/ALPENA, MI 	APX 	RDA
NORTH PLATTE 	KLNX 	NORTH PLATTE, NE 	NORTH PLATTE, NE 	LBF 	RDA
NORTHERN INDIANA 	KIWX 	NORTH WEBSTER, IN 	N. WEBSTER/NORTHERN, IN 	IWX 	RDA
OMAHA 	KOAX 	VALLEY, NE 	OMAHA, NE 	OAX 	RDA
PADUCAH 	KPAH 	PADUCAH, KY 	PADUCAH, KY 	PAH 	RDA
PLEASANT HILL 	KEAX 	PLEASANT HILL, MO 	PLEASANT HILL, MO 	EAX 	RDA
PUEBLO 	KPUX 	PUEBLO, CO 	PUEBLO, CO 	PUB 	RDA
QUAD CITIES 	KDVN 	DAVENPORT, IA 	QUAD CITIES, IA 	DVN 	RDA
RAPID CITY 	KUDX 	NEW UNDERWOOD, SD 	RAPID CITY, SD 	UNR 	RDA
RIVERTON/LANDER 	KRIW 	RIVERTON, WY 	RIVERTON, WY 	RIW 	RDA
SIOUX FALLS 	KFSD 	SIOUX FALLS, SD 	SIOUX FALLS, IA 	FSD 	RDA
SPRINGFIELD 	KSGF 	SPRINGFIELD, MO 	SPRINGFIELD, MO 	SGF 	RDA
ST LOUIS 	KLSX 	WELDON SPRING, MO 	ST. LOUIS, MO 	LSX 	RDA
TOPEKA 	KTWX 	TOPEKA, KS 	TOPEKA, KS 	TOP 	RDA
WICHITA 	KICT 	WICHITA, KS 	WICHITA, KS 	ICT 	RDA
ALBANY 	KENX 	EAST BERNE, NY 	ALBANY, NY 	ALY 	RDA
BINGHAMTON 	KBGM 	BINGHAMTON, NY 	BINGHAMTON, NY 	BGM 	RDA
BOSTON 	KBOX 	TAUNTON, MA 	BOSTON /TAUNTON, MA 	BOX 	RDA
BROOKHAVEN 	KOKX 	UPTON, NY 	NEW YORK CITY, NY 	OKX 	RDA
BUFFALO 	KBUF 	BUFFALO, NY 	BUFFALO, NY 	BUF 	RDA
BURLINGTON 	KCXX 	COLCHESTER, VT 	BURLINGTON, VT 	BTV 	RDA
CARIBOU 	KCBW 	HOULTON, ME 	CARIBOU, ME 	CBW 	RDA
CHARLESTON, SC 	KCLX 	GRAYS, SC 	CHARLESTON, SC 	CHS 	RDA
CHARLESTON, WV 	KRLX 	CHARLESTON, WV 	CHARLESTON, WV 	RLX 	RDA
CINCINNATI 	KILN 	WILMINGTON, OH 	WILMINGTON/CINCINNATI, OH 	ILN 	RDA
CLEVELAND 	KCLE 	CLEVELAND, OH 	CLEVELAND, OH 	CLE 	RDA
COLUMBIA 	KCAE 	WEST COLUMBIA, SC 	COLUMBIA, SC 	CAE 	RDA
GREER 	KGSP 	GREER, SC 	GREER/GREENVILLE/SPRTBG, SC 	GSP 	RDA
MOREHEAD CITY 	KMHX 	NEWPORT, NC 	MOREHEAD CITY, NC 	MHX 	RDA
NORFOLK 	KAKQ 	WAKEFIELD, VA 	WAKEFIELD, VA 	AKQ 	RDA
PHILADELPHIA 	KDIX 	FORT DIX, NJ 	MT HOLLY/PHILADELPHIA, PA 	PHI 	RDA
PITTSBURGH 	KPBZ 	CORAOPOLIS, PA 	PITTSBURGH, PA 	PBZ 	RDA
PORTLAND, ME 	KGYX 	GRAY, ME 	PORTLAND, ME 	GYX 	RDA
